arm,ema,ema_at_stop,seed,term,reached,last_step,value_at_30k,value_at_stop,change_30k_to_40k
dec_m070_fix,0.7 fixed,0.700,20260520,cos_err,40000,40000,0.429822,0.235919,-0.193904
dec_m050_fix,0.5 fixed,0.500,20260520,loss,10600,10600,,1.348274,
dec_m050_fix,0.5 fixed,0.500,20260520,rep_w,10600,10600,,0.007980,
dec_m050_fix,0.5 fixed,0.500,20260520,l_rep,10600,9999,,11.765168,
dec_m050_fix,0.5 fixed,0.500,20260520,align_reduced,10600,10600,,1.242119,
dec_m050_fix,0.5 fixed,0.500,20260520,cos_err,10600,10600,,0.676259,
dec_ramp30k_m080,0.8 to 1.0 at 200k,0.840,20260520,loss,40000,40000,1.084274,0.486432,-0.597842
dec_ramp30k_m080,0.8 to 1.0 at 200k,0.840,20260520,rep_w,40000,40000,0.016650,0.000000,-0.016650
dec_ramp30k_m080,0.8 to 1.0 at 200k,0.840,20260520,l_rep,40000,29999,11.707593,11.707578,-0.000015
dec_ramp30k_m080,0.8 to 1.0 at 200k,0.840,20260520,align_reduced,40000,40000,0.887999,0.485017,-0.402981
dec_ramp30k_m080,0.8 to 1.0 at 200k,0.840,20260520,cos_err,40000,40000,0.491990,0.307449,-0.184541
dec_ramp20k_m080,0.8 to 1.0 at 200k,0.840,20260520,loss,40000,40000,0.949208,0.554644,-0.394564
dec_ramp20k_m080,0.8 to 1.0 at 200k,0.840,20260520,rep_w,40000,40000,0.000000,0.000000,+0.000000
dec_ramp20k_m080,0.8 to 1.0 at 200k,0.840,20260520,l_rep,40000,19999,,11.675900,
dec_ramp20k_m080,0.8 to 1.0 at 200k,0.840,20260520,align_reduced,40000,40000,0.947615,0.553042,-0.394573
dec_ramp20k_m080,0.8 to 1.0 at 200k,0.840,20260520,cos_err,40000,40000,0.565894,0.386947,-0.178947
dec_ramp5k_m080,0.8 to 1.0 at 200k,0.840,20260520,loss,40000,40000,0.423062,0.318353,-0.104709
dec_ramp5k_m080,0.8 to 1.0 at 200k,0.840,20260520,rep_w,40000,40000,0.000000,0.000000,+0.000000
dec_ramp5k_m080,0.8 to 1.0 at 200k,0.840,20260520,l_rep,40000,4999,,11.663679,
dec_ramp5k_m080,0.8 to 1.0 at 200k,0.840,20260520,align_reduced,40000,40000,0.420843,0.316251,-0.104592
dec_ramp5k_m080,0.8 to 1.0 at 200k,0.840,20260520,cos_err,40000,40000,0.276529,0.209942,-0.066586
dec_m080_r200_s24,0.8 to 1.0 at 200k,0.840,20260524,loss,40000,40000,1.246741,0.747987,-0.498754
dec_m080_r200_s24,0.8 to 1.0 at 200k,0.840,20260524,rep_w,40000,40000,0.000000,0.000000,+0.000000
dec_m080_r200_s24,0.8 to 1.0 at 200k,0.840,20260524,l_rep,40000,9999,,11.651296,
dec_m080_r200_s24,0.8 to 1.0 at 200k,0.840,20260524,align_reduced,40000,40000,1.246018,0.746847,-0.499171
dec_m080_r200_s24,0.8 to 1.0 at 200k,0.840,20260524,cos_err,40000,40000,0.694896,0.520853,-0.174043
